id,name
2975,Laurence Fishburne
8349,Martin Sheen
8351,Frederic Forrest
8354,Albert Hall
6384,Keanu Reeves
530,Carrie-Anne Moss
18471,Anthony Anderson
74611,Tracee Ellis Ross
1407498,Marsai Martin
1107983,Martin Luther King Jr.
52057,Obba Babatundé
110380,Colin Powell
47296,Jeffrey Dean Morgan
17637,Taye Diggs
53336,Brandon T. Jackson
6193,Leonardo DiCaprio
1892,Matt Damon
514,Jack Nicholson
4001066,Richard Teideman
1197772,David Aaronovitch
3895,Michael Caine
59258,Lewis Black
3392,Michael Douglas
2639,Eva Marie Saint
1397846,Craig Barron
2166741,Robert A. Baum Jr.
2641,Martin Landau
13724,Jane Alexander
2112,Brock Peters
7796,Illeana Douglas
851784,Mackenzie Foy
89819,Zachary Gordon
103835,Jeff Monahan
6717,James Marshall
92029,Gabriel Bologna
218506,Gretchen Becker
26466,Caroline Kava
18269,Brendan Fraser
928944,Coleman Barks
2022250,Robert Bly
9979,Peter Coyote
2098136,Brian Becker
2098137,Richard Becker
2098138,Blase Bonpane
5606,Sissy Spacek
5632,Jack Fisk
11367,Bradley Whitford
31028,Richard Schiff
21010,Alexandra Hay
101032,Rod McCary
30020,Michael J. Nelson
30022,Kevin Murphy
68833,Bill Corbett
9340,Lana Wachowski
9339,Lilly Wachowski
4789367,Cáel M. Keegan
564,Richard Linklater
584,Philip K. Dick
32233,Tommy Pallotta
1357063,Darrin Prescott
40644,Chad Stahelski
1779512,Jackson Spidell
1776,Francis Ford Coppola
38803,Roman Coppola
64,Gary Oldman
21127,Bobby Cannavale
1692944,Heidi Schreck
529,Guy Pearce
532,Joe Pantoliano
2395,Whoopi Goldberg
1735828,Halle Bailey
53397,Christina Aguilera
1897,Bernie Mac
77896,Bill Bellamy
170497,Norman Lear
4491,Jennifer Aniston
56322,Amy Poehler
1224841,Mo Willems
539,Thomas Lennon
111513,Yvette Nicole Brown
14837,Carol Burnett
5823,Julie Andrews
3141,Marisa Tomei
1068417,Bethann Hardison
77072,Tyson Beckford
56367,Naomi Campbell
14386,Beyoncé
84932,Jay-Z
1680929,Blue Ivy Carter
2682390,Gerd Ludwig
2227,Nicole Kidman
4430,Sharon Stone
102786,Barack Obama
128550,Desmond Tutu
2320880,Sundar Pichai
1165240,Jason Alan Carvell
1280183,Coretta Scott King
2855535,Jack O'Dell
2939212,Clarence Jones
237876,Sarah-Jane Sauvegrain
21111,John F. Kennedy
73988,Lyndon B. Johnson
1050881,Jacqueline Kennedy
12951,O.J. Simpson
2998183,Nicole Brown Simpson
1231277,Marcia Clark
180659,Rosa Parks
214317,Ben Bradlee
13716,Carl Bernstein
117180,Tom Brokaw
7172,James Brown
21112,Hubert H. Humphrey
181934,Al Sharpton
496175,Carmelo Anthony
2102583,Andrew Cohen
1006651,John Lewis
23626,Liev Schreiber
937663,Neil Amdur
1931175,Bob Beamon
2954,Jeffrey Wright
33663,Donald Trump
2301996,Mike Pence
2787630,Valentin Zorin
89289,Jesse Jackson
2803017,Arthur John Birch
2803001,Haroldson Lafayette Hunt
1038,Jodie Foster
4173,Anthony Hopkins
349,Scott Glenn
2535,Vivica A. Fox
225620,Rudolph Moise
1122373,Marion Barry
1122374,Chuck Brown
1122375,Lewis Franklin
1507609,Bob Coen
1507612,Francis E. Boyle
1507613,Jean Patterson
1884692,Susannah Kenton
2701107,Eugene Chang
19011,George W. Bush
146687,Tony Blair
74266,Dick Cheney
21029,Billy Burke
1661329,Lorraine Devon Wilke
56978,Jennifer Rubin
43902,Erik Palladino
84164,Billy Jayne
219688,Billy Aronson
1277412,Martha Banta
17828,Michael Barnathan
22122,Meagan Good
2582166,Jeremy Urann
40036,Taraji P. Henson
1394997,Tituss Burgess
131722,Ciara
103,Mark Ruffalo
2282,Ben Kingsley
21007,Jonah Hill
234352,Margot Robbie
24045,Joseph Gordon-Levitt
3899,Ken Watanabe
134,Jamie Foxx
27319,Christoph Waltz
2366,Dante Ferretti
150367,James Gilligan
204,Kate Winslet
2710,James Cameron
8529,Jon Landau
31,Tom Hanks
1206,Jason Alexander
70851,Jack Black
1032,Martin Scorsese
380,Robert De Niro
9261,Frank Abagnale Jr.
488,Steven Spielberg
2689,Jeff Nathanson
16418,Casey Kasem
15831,Frank Welker
11478,Lorraine Bracco
944538,Daniel B. Gold
2830394,Ross Gelbspan
971346,Bill McKibben
3197,Tom Sizemore
12833,Edward Burns
2157,Robin Williams
880,Ben Affleck
578,Ridley Scott
1023139,Adam Driver
1810,Heath Ledger
3361135,Peter Kent
1812,Michelle Williams
10297,Matthew McConaughey
1813,Anne Hathaway
2037,Cillian Murphy
5081,Emily Blunt
1231844,Manny Ramírez
1214256,Curt Schilling
21037,Prince
1800494,Cora Coleman-Dunham
1775343,Josh Dunham
3894,Christian Bale
19498,Jon Bernthal
1370,Brad Dourif
7071,Louise Fletcher
10409,Shelley Duvall
10410,Danny Lloyd
15189,Michelangelo Antonioni
18514,Asia Argento
4955,Dario Argento
61110,Fred Armisen
707,Dan Aykroyd
7447,Alec Baldwin
34947,Kevin Conroy
1262612,Neal Adams
21200,Will Arnett
6968,Hugh Jackman
1291312,Jürgen Thormann
2983750,Peter Garloff
39998,Tim McIntire
7506,Irwin Allen
525,Christopher Nolan
15556,Rebecca Hall
9789,Robert Altman
6449,Warren Beatty
32395,Debbie Allen
1227911,Peter Allen
27769,Harry Anderson
6952,Charlie Sheen
114454,BJ Davis
10017,Charlton Heston
26513,Debra Winger
146747,Mario Batali
212,David Cross
1163873,Omar Elba
1532857,Rebecca Blaine Carton
1358384,Topher Mikels
169200,Phyllis Smith
10872,Patton Oswalt
105787,Greg Giraldo
2435839,Barbara Grau
8534,Kathy Bates
1121,Benicio del Toro
73931,Bette Midler
2232,Michael Keaton
192,Morgan Freeman
516,Annette Bening
6352,Jane Fonda
14841,Bruce Gilbert
3223,Robert Downey Jr.
16828,Chris Evans
1,George Lucas
7879,John Lasseter
2638,Cary Grant
2091,James Mason
2496,Stanley Ridges
22091,Robert Sterling
24589,Paul Mercurio
24590,Dominique Sanda
1205143,John Gazarian
1205144,Darlene Landau
11770,John Carpenter
515,Glenn Close
9111,Peter Graves
98234,Barbara Bain
2222,Beau Bridges
18878,Rob Cohen
6349,Alan J. Pakula
21278,Alan Alda
8488,Mary Badham
8487,Gregory Peck
8489,Phillip Alford
84206,Keshia Knight Pulliam
119598,Phylicia Rashād
8656,Dorian Harewood
57686,Hill Harper
32646,Monica Calhoun
20493,Sydney Tamiia Poitier
11665,Michael Angarano
2171,Griffin Dunne
11477,Ray Liotta
4517,Joe Pesci
176557,Mark Kassen
19453,Tom Bower
17696,Kathryn Hahn
15864,Clarence Williams III
20508,Iain Glen
1254526,Brianna Gentilella
17051,James Franco
1518619,Sigi Ravet
13922,Seth Green
188238,Matthew Senreich
52139,Seth MacFarlane
6677,Kyle MacLachlan
6678,Michael Ontkean
6714,Mädchen Amick
131220,Sherry Morris
3140207,Carman
131221,Elise Lester
3517400,David Barbe
1936743,Kishi Bashi
1800382,Stanley McChrystal
3474911,Kathleen Belew
60642,Tom Petty
22865,Little Richard
13301,Quincy Jones
56890,Malcolm McDowell
46393,Roseanne Barr
1066777,Mumia Abu-Jamal
65013,Rubin 'Hurricane' Carter
4808,Giancarlo Esposito
82128,Wesley Clark
1353815,Dr. Diane Ravitch
1353816,Dr. Linda Darling-Hammond
4645062,Anne Nelson
2749845,William J. Barber II
20212,Dermot Mulroney
41249,Tess Harper
13567,Ann-Margret
25834,Leslie Hope
1204293,J. Allen Hynek
2027993,Philip J. Klass
3546502,Jack Trout
118764,Paulo Pires
36281,Imanol Arias
3199207,Jerry Dealey
3199208,Barry Ernest
1214281,Marcus Allen
1648152,Peter Max
92911,Garth Brooks
54693,Emma Stone
19492,Viola Davis
18997,Bryce Dallas Howard
13611,Jack White
10750,Sheryl Crow
8261,Willie Nelson
287,Brad Pitt
12052,Gwyneth Paltrow
76184,Bryan Marshall
75781,John Turner
83908,Daniel Massey
1748,William Shatner
8499,William Windom
30024,Joel Hodgson
117649,Frank Conniff
30019,Trace Beaulieu
6777,Moe Howard
89613,Larry Fine
89614,Curly Howard
1350757,Jonah Ray
1230192,Elliott Kalan
1219029,Paul F. Tompkins
1750843,Subhah Agarwal
1221712,Kevin Allison
14538,Don Phillips
7779,Sean Daniel
1820819,Kent Jones
569,Ethan Hawke
189111,Suzanne Collins
72129,Jennifer Lawrence
27972,Josh Hutcherson
4587,Halle Berry
8691,Zoe Saldaña
16178,Rick Baker
11181,Kenneth Branagh
14639,Mel Brooks
1769,Sofia Coppola
19772,Paul Rassam
1006721,Charles Scorsese
11483,Catherine Scorsese
2559324,Beth Lane
